Rok;Miesiąc;Dzień;Godzina;Temp. 2m [st.C];Wiatr 10m, Prędkość [m/s];Typ Opadu;Wysokość Opadu [mm];Wilgotność względna [%];Długość geograficzna;Szerokość geograficzna
2018;09;01;00;16,259;2,605;;;72;17.049640;51.123614
2018;09;01;01;14,065;2,667;;;73;17.049640;51.123614
2018;09;01;02;15,380;2,295;;;74;17.049640;51.123614
2018;09;01;03;14,755;2,410;;;78;17.049640;51.123614
2018;09;01;04;13,786;2,509;;;74;17.049640;51.123614
2018;09;01;05;16,298;2,609;;;74;17.049640;51.123614
2018;09;01;06;15,805;2,735;;;76;17.049640;51.123614
2018;09;01;07;16,259;3,050;;;75;17.049640;51.123614
2018;09;01;08;17,674;3,155;;;70;17.049640;51.123614
2018;09;01;09;18,368;2,845;;;69;17.049640;51.123614
2018;09;01;10;19,020;3,076;;;66;17.049640;51.123614
2018;09;01;11;19,264;3,183;płynny;0,29;68;17.049640;51.123614
2018;09;01;12;19,101;2,070;płynny;0,55;77;17.049640;51.123614
2018;09;01;13;18,892;1,718;płynny;1,40;81;17.049640;51.123614
2018;09;01;14;18,916;3,049;płynny;0,60;84;17.049640;51.123614
2018;09;01;15;19,034;4,274;płynny;0,04;81;17.049640;51.123614
2018;09;01;16;19,556;4,644;;;77;17.049640;51.123614
2018;09;01;17;19,595;4,515;;;75;17.049640;51.123614
2018;09;01;18;18,422;5,059;;;78;17.049640;51.123614
2018;09;01;19;17,706;4,658;;;79;17.049640;51.123614
2018;09;01;20;16,707;3,970;płynny;0,01;79;17.049640;51.123614
2018;09;01;21;16,233;3,953;;;77;17.049640;51.123614
2018;09;01;22;17,209;3,315;płynny;0,08;76;17.049640;51.123614
2018;09;01;23;17,395;4,022;płynny;0,05;71;17.049640;51.123614
2018;09;02;00;16,869;4,403;płynny;0,01;70;17.049640;51.123614
2018;09;02;01;17,241;3,832;;;67;17.049640;51.123614
2018;09;02;02;17,426;2,814;płynny;0,02;66;17.049640;51.123614
2018;09;02;03;17,315;2,506;płynny;1,37;72;17.049640;51.123614
2018;09;02;04;16,900;3,170;;;72;17.049640;51.123614
2018;09;02;05;16,951;2,512;;;70;17.049640;51.123614
2018;09;02;06;16,519;2,357;;;72;17.049640;51.123614
2018;09;02;07;17,239;2,563;;;70;17.049640;51.123614
2018;09;02;08;18,736;3,311;;;68;17.049640;51.123614
2018;09;02;09;19,706;3,684;;;66;17.049640;51.123614
2018;09;02;10;20,810;3,901;;;62;17.049640;51.123614
2018;09;02;11;22,048;3,961;płynny;0,18;58;17.049640;51.123614
2018;09;02;12;22,618;4,379;płynny;0,37;57;17.049640;51.123614
2018;09;02;13;23,405;4,232;płynny;0,29;54;17.049640;51.123614
2018;09;02;14;24,693;4,225;;;50;17.049640;51.123614
2018;09;02;15;25,499;4,860;;;47;17.049640;51.123614
